Sno,Name/Address,Installed Capacity (MTA)
1,"M/s Ramky Enviro Engineer Ltd., Vill. Nimbuan, Tehsil Dera Bassi, District SAS Nagar.",1200
2,"M/s  Spreco  Recycling,  D-45,  Industrial  Area, Focal Point, Raikot, District Ludhiana.",240
3,"M/s K.J. Recycler, C-38, Sanjay Gandhi Nagar, Industrial Area, Jalandhar",600
4,"M/s   Black   Diamond   Cements   Pvt.   Ltd.,   (E- Waste Dismantling & Recycling Facility), Village Humayunpur Nariangarh Road,Tehsil Dera Bassi,District SAS Nagar",2400
5,"M/s.Cosmos  Recycling  Grewal  Nagar,  Street No. 2, VPO Hambran Jagroan, Ludhiana",450
6,"M/s.  Stellar  Recycling  LLP  Village  Lakhowal ( H.B.No.190 ), Tehsil & District Ludhiana",3600
7,"M/s    Kumar    Enterprises,    Malerkotla    Road, village dulladi, teh nabha, Distt. Patial",1002
8,"M/s. Green Bird Recycling, 223, Hadbast, Vill. Magarh, Kohara Macchiwara Road, Ludhiana",600
