Sno,Name/Address,Installed Capacity (MTA)
1,"M/s Fozia Traders, Khasra No.13/1, Saboli Mandoli
Industrial Area, Delhi-110093",90
2,"M/s Muskan Technologies, B-96,Okhla Industrial Area,Phase-1,Delhi- 110020",600
3,"M/s. Shivnath Computers, E-47/2, 1st Floor, Okhla Phase-2, Delhi- 110019",450
4,"M/s. Techchef E-Waste Solutions Private Limited, C-61, Top Floor, DDA Shed Okhla
Industrial Area, Delhi-110020",99
5,"M/s. Greenscape Eco Management Private Ltd., 348, Patparganj Industrial Area, Delhi- 110020",450
6,"M/s. Shree Raman E-Waste, Plot No. 7, Khasra No. 487, Peeragarhi Industrial Area, Peeragarhi Village, Delhi -110087",300
