Sno,Name/Address,Installed Capacity (MTA)
1,"M/s.  Sani  Clean  (P)  Ltd.,  Plot  No.  802/947,  at- Tangiapada, Niala, Dist-Khurda",3000
2,"M/s.   Varun   infra   Steel   Pvt.   Ltd.   Plot   No. 1991/3942, At/P.O. Brahmani Tarang, Vedvyas, Rourkela-769004, Dist-Sundargarh",730
3,"M/s. Jagannath E-Waste Recyclers, At-Pinchuli,P.O. Purushottampur, Dist-Ganjam",500
4,"M/s.  P  K  Enterprises,  Plot  No.293/525,  Khata No.127/4 At /P.O. Kalunga,Dist-Sundargarh",730
5,"M/s Mirtunjai Udyog(Dismantler), At-AA/2, Civil Township, Rourkela Distt- Sundargarh",730
6,"M/s.    Cosmic    Net,    B-25,    Saheed    Nagar, Bhubaneswar,",360
7,"M/s Ecokart Technology Pvt. Ltd., At/PO/Mouza-Kuradhamala, Daleiput, Dist- Khordha, M-7008551392",3000
