Sno,Name/Address,Installed Capacity (MTA)
1,"M/s J.S. Pigments Pvt. ltd, Vill.+ P.O.-Jarua, P.S.- Polba, Hoogly-712138",600
2,"M/s Lubrina Recycling Pvt. ltd., P.O. Bakrahat, P.S. Bishnupur, Distt.-24 Pgs(S), Pin-743377.",1080
3,"M/s. P. U. Steel and Electro Process pvt. Ltd., Ruiya Industrial complex P.O. Patuliar PS- Khadar Distt. 24,  PGS (N), West Bengal - 750119",180
4,"M/s Old N Furniture 323, K.P. Mondal Road, PO & PS Budge Budge, Dist-24 PGS(S), Pin-700137",180
5,"M/s. Bhanu Metal Industries, Vill. Khamar, P.O. -Rajarhat, P.S.-Rajarhat, Dist. 24, PGS (N)-700135",600
